"Activity Name","Activity Number","Default Days of Week, Start Time, and Duration"
"Swimming ? Private Lessons ? Child - Inclusive Recreation","87111","Sun, 9:15 AM, 30m"
"Swimming ? Private Lessons ? Child","87112","Sun, 10:30 AM, 30m"
"Swimming ? Private Lessons ? Child","87113","Sun, 10:45 AM, 30m"
"Swimming ? Private Lessons ? Child","87116","Sun, 10:45 AM, 30m"
"Swimming ? Private Lessons ? Child","87117","Sun, 11:15 AM, 30m"
"Swimming ? Private Lessons ? Child","87120","Sun, 11:15 AM, 30m"
"Swimming ? Private Lessons ? Child","87122","Sun, 6:45 PM, 30m"
"Swimming ? Private Lessons ? Child","87124","Mon, 4:30 PM, 30m"
"Swimming ? Private Lessons ? Child","87127","Sun, 5:45 PM, 30m"
"Swimming ? Private Lessons ? Child","87128","Sun, 5:45 PM, 30m"
"Bronze Cross","90630","Sat, 3:30 PM, 3h30m"
"Bronze Cross","90631","Sun, 3:30 PM, 3h30m"
"Bronze Medallion and Emergency First Aid with CPR-B","90633","Sat, 3:30 PM, 2h30m"
"Bronze Medallion and Emergency First Aid with CPR-B","90634","Sun, 3:30 PM, 2h30m"
"Lifesaving Swim Instructor","90636","Sat, 9:00 AM, 5h30m"
"Lifesaving Swim Instructor","90637","Sun, 3:00 PM, 5h30m"
"Lifesaving Airway Management","90639","Fri, 5:00 PM, 4h"
"National Lifeguard Recertification","90641","Sat, 3:30 PM, 5h"
"Lifesaving Standard First Aid and CPR+AED Recert","90643","Sun, 9:00 AM, 8h"
"Lifesaving Standard First Aid with CPR-C and AED","90645","Sun, 9:00 AM, 8h / Sat, 9:00 AM, 8h"
"Swimming ? Private Lessons ? Inclusive Recreation Waitlist","91924","Mon, 5:30 PM, 30m"
